turn_id,start_s,end_s,duration_s,gemini_decision,gemma4_e4b_lora_decision,gemma4_e4b_lora_codes,gemma4_e4b_lora_reason,gemma4_e4b_q4_decision,gemma4_12b_decision
turn_001_spk_00_0.10-1.85,0.1,1.85,1.75,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_002_spk_00_2.19-5.28,2.19,5.28,3.08,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_003_spk_01_6.85-7.76,6.85,7.76,0.92,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_004_spk_00_8.56-10.44,8.56,10.44,1.87,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_005_spk_00_10.83-19.84,10.83,19.84,9.01,reject,pass,,"The audio features a single, clear speaker throughout, with both the beginning and end of the speech occurring on natural, complete acoustic boundaries.",,
turn_006_spk_02_20.87-21.92,20.87,21.92,1.05,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_007_spk_00_23.08-28.06,23.08,28.06,4.97,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_008_spk_00_28.16-36.02,28.16,36.02,7.86,reject,pass,,"The audio features a single, clear speaker throughout, with both the beginning and end of the speech occurring on natural, complete acoustic boundaries.",,
turn_009_spk_00_36.28-40.70,36.28,40.7,4.42,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_010_spk_00_41.19-42.76,41.19,42.76,1.57,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_011_spk_02_43.75-46.72,43.75,46.72,2.97,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_012_spk_00_48.36-51.29,48.36,51.29,2.93,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_013_spk_00_52.71-53.94,52.71,53.94,1.23,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_014_spk_00_59.87-74.94,59.87,74.94,15.07,pass,pass,,"The audio features a single, clear speaker throughout, with both the beginning and end of the speech occurring on natural, complete acoustic boundaries.",,
turn_015_spk_02_80.51-84.50,80.51,84.5,3.99,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_016_spk_02_87.24-88.96,87.24,88.96,1.72,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_017_spk_00_99.36-101.73,99.36,101.73,2.38,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_018_spk_01_104.28-106.01,104.28,106.01,1.73,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_019_spk_02_107.94-109.57,107.94,109.57,1.63,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_020_spk_01_108.79-111.29,108.79,111.29,2.51,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_021_spk_01_113.12-114.25,113.12,114.25,1.12,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_022_spk_00_115.32-118.62,115.32,118.62,3.31,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_023_spk_00_119.25-121.27,119.25,121.27,2.01,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_024_spk_01_122.05-123.22,122.05,123.22,1.17,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_025_spk_01_125.51-126.74,125.51,126.74,1.23,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_026_spk_00_130.36-139.84,130.36,139.84,9.48,pass,pass,,"The audio features a single, clear speaker throughout, with both the beginning and end of the speech occurring on natural, complete acoustic boundaries.",,
turn_027_spk_00_154.39-157.66,154.39,157.66,3.27,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_028_spk_01_158.46-161.50,158.46,161.5,3.05,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_029_spk_01_163.21-164.51,163.21,164.51,1.3,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_030_spk_00_175.90-177.58,175.9,177.58,1.68,pass,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
turn_031_spk_02_178.18-180.00,178.18,180.0,1.82,reject,pass,,"The audio features a single, clear speaker throughout, with natural acoustic onsets and endings for all words.",,
