index,turn_id,speaker_id,duration_s,gemini_decision,gemma_12b_q6_decision,gemma_12b_q4_decision,gemma_e4b_q8_decision,gemma_e4b_q4_decision,gemini_reason,gemma_12b_q6_reason,gemma_12b_q4_reason,gemma_e4b_q8_reason,gemma_e4b_q4_reason,audio_path
1,turn_001_spk_00_0.10-1.85,spk_00,1.75,reject,pass,pass,pass,reject,The final syllable is cut off abruptly before the natural acoustic decay of the vowel/coda finishes.,Single speaker with clear phonetic onset and complete coda closure at the end.,Single speaker present with clear word boundaries at both start and end.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,"The speech ends abruptly, cutting off the final word before its full tonal contour and coda closure are completed.",data/experiment_khanhvy/cuts/turn_001_spk_00_0.10-1.85.wav
2,turn_002_spk_00_2.19-5.28,spk_00,3.08,pass,pass,error,pass,pass,"The utterance is clear with a single speaker throughout, containing natural acoustic boundaries without clipping or background speaker intrusion.",Single speaker with clear phonetic onset and complete tonal closure at the end.,,"The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.",Single speaker is present throughout. The audio starts with a clear phonetic onset and ends with the final word completing its tonal contour and coda into natural silence.,data/experiment_khanhvy/cuts/turn_002_spk_00_2.19-5.28.wav
3,turn_003_spk_01_6.85-7.76,spk_01,0.92,pass,error,pass,pass,pass,"The utterance starts cleanly with a complete onset and ends naturally with fully articulated coda and trailing silence, featuring only a single speaker.",,Single speaker with clear phonetic onset and completion of the final word.,The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,"The audio contains a single, clear speaker with no background noise or secondary voices. The utterance starts with a full phonetic onset and ends with a complete closure into natural silence.",data/experiment_khanhvy/cuts/turn_003_spk_01_6.85-7.76.wav
4,turn_004_spk_00_8.56-10.44,spk_00,1.87,pass,pass,pass,pass,pass,The audio contains a single speaker with natural silences at both boundaries and no clipping or secondary voices.,"The audio features a single speaker with clear, complete word boundaries at both the start and end.","The audio features a single speaker with clear, complete word boundaries at both the beginning and the end.",The audio contains a single speaker and the speech starts and ends on complete acoustic word boundaries.,The audio contains a single speaker with no secondary voices or tail intrusions. Both the start and end of the speech are acoustically complete and natural.,data/experiment_khanhvy/cuts/turn_004_spk_00_8.56-10.44.wav
5,turn_005_spk_00_10.83-19.84,spk_00,9.01,reject,pass,pass,pass,pass,"The audio cuts off abruptly at the end while the final word is still actively being articulated, cutting its acoustic decay and coda short.",Single speaker with clear word boundaries at both start and end.,Single speaker with clear word boundaries at both start and end.,"The audio contains a single speaker with no tail intrusion. Speech starts and ends on complete, natural acoustic word boundaries.","Single speaker is present throughout. Speech starts and ends on complete, natural acoustic word boundaries with no clipped segments or trailing secondary voices.",data/experiment_khanhvy/cuts/turn_005_spk_00_10.83-19.84.wav
6,turn_006_spk_02_20.87-21.92,spk_02,1.05,pass,pass,error,pass,pass,The clip contains only one speaker with complete phonetic boundaries and no tail intrusion or clipping.,Single speaker with complete word boundaries at start and end.,,The audio contains a single speaker with no discernible background noise or secondary voices. The speech starts and ends on complete acoustic word boundaries.,"The audio contains a single speaker with no background noise or secondary voices. Both the start and end of the speech are acoustically complete, with no clipped boundaries.",data/experiment_khanhvy/cuts/turn_006_spk_02_20.87-21.92.wav
7,turn_007_spk_00_23.08-28.06,spk_00,4.97,reject,pass,error,pass,reject,"An initial secondary speaker is audible before the main speaker, and the final word is clipped abruptly at the end.","Single speaker with clear, complete word boundaries at both start and end.",,"The audio contains a single speaker with no secondary vocal intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio ends abruptly mid-word ('Cách'), failing to complete the final consonant closure and tonal contour into natural silence.",data/experiment_khanhvy/cuts/turn_007_spk_00_23.08-28.06.wav
8,turn_008_spk_00_28.16-36.02,spk_00,7.86,reject,pass,pass,pass,pass,"The initial syllable is abruptly truncated at the start of the recording, cutting off its initial consonant onset.",Single speaker with clear phonetic onset and full coda closure at the end.,"The audio contains a single speaker with clear, complete phonetic boundaries at both the start and the end, with no tail intrusions.","The audio contains a single speaker with no secondary intrusions. Speech starts and ends on complete, natural acoustic word boundaries.","The audio contains a single, clear speaker with no background noise or secondary voices. Both the start and end of the speech are acoustically complete, with full phonetic onsets and natural silence following the final word.",data/experiment_khanhvy/cuts/turn_008_spk_00_28.16-36.02.wav
9,turn_009_spk_00_36.28-40.70,spk_00,4.42,reject,pass,pass,pass,pass,"The audio cuts off abruptly at the very end while the final syllable's tone and vowel are still actively sounding, cutting off the natural decay.",Single speaker with complete word boundaries at both start and end.,Single speaker with clear phonetic onset and coda closure at both boundaries.,"The audio contains a single speaker, and both the start and end of the speech are acoustically complete.",Single speaker with no background noise. Speech starts and ends on complete word boundaries.,data/experiment_khanhvy/cuts/turn_009_spk_00_36.28-40.70.wav
10,turn_010_spk_00_41.19-42.76,spk_00,1.57,reject,pass,pass,pass,pass,The final syllable is abruptly cut off mid-vocalization at the end of the clip.,Single speaker with complete word boundaries at both start and end.,"Single speaker with clear, complete word boundaries at both start and end.",The audio contains a single speaker and all audible words start and end on complete acoustic boundaries.,The audio contains a single speaker with no overlap or tail intrusion. Both the start and end of the speech are acoustically complete.,data/experiment_khanhvy/cuts/turn_010_spk_00_41.19-42.76.wav
