turn_id,start_s,end_s,duration_s,flipped,gemini_low_decision,gemini_medium_decision,gemini_low_codes,gemini_medium_codes,latency_s,gemini_low_reason,gemini_medium_reason
turn_001_spk_00_0.10-1.85,0.1,1.85,1.75,False,reject,reject,clipped_word_end,clipped_word_end,3.57,The final syllable is cut off abruptly before the natural acoustic decay of the vowel/coda finishes.,The audio cuts off abruptly at the very end while the speaker is in the middle of articulating the final syllable.
turn_002_spk_00_2.19-5.28,2.19,5.28,3.08,False,pass,pass,,,2.75,"The utterance is clear with a single speaker throughout, containing natural acoustic boundaries without clipping or background speaker intrusion.","The audio features a single speaker with clear, unclipped start and end boundaries."
turn_003_spk_01_6.85-7.76,6.85,7.76,0.92,True,pass,reject,,clipped_word_end,4.19,"The utterance starts cleanly with a complete onset and ends naturally with fully articulated coda and trailing silence, featuring only a single speaker.",The final word is cut off abruptly before completing its natural tonal contour and acoustic decay.
turn_004_spk_00_8.56-10.44,8.56,10.44,1.87,False,pass,pass,,,3.6,The audio contains a single speaker with natural silences at both boundaries and no clipping or secondary voices.,Single speaker with clear phonetic boundaries and natural decay into silence at the end.
turn_005_spk_00_10.83-19.84,10.83,19.84,9.01,False,reject,reject,clipped_word_end,clipped_word_end,7.16,"The audio cuts off abruptly at the end while the final word is still actively being articulated, cutting its acoustic decay and coda short.",The audio cuts off abruptly at the end while the speaker is mid-syllable.
turn_006_spk_02_20.87-21.92,20.87,21.92,1.05,False,pass,pass,,,2.96,The clip contains only one speaker with complete phonetic boundaries and no tail intrusion or clipping.,"The audio features a single speaker with clean acoustic boundaries at both the start and end, and no overlapping voices or clipping."
turn_007_spk_00_23.08-28.06,23.08,28.06,4.97,False,reject,reject,secondary_speaker;clipped_word_end,clipped_word_end;secondary_speaker,4.29,"An initial secondary speaker is audible before the main speaker, and the final word is clipped abruptly at the end.","A secondary voice is clearly audible singing or vocalizing in the first second, and the clip cuts off abruptly on the final word before its closure."
turn_008_spk_00_28.16-36.02,28.16,36.02,7.86,False,reject,reject,clipped_word_start,clipped_word_start,9.29,"The initial syllable is abruptly truncated at the start of the recording, cutting off its initial consonant onset.","The first word is truncated at the onset, missing its natural initial consonant attack."
turn_009_spk_00_36.28-40.70,36.28,40.7,4.42,True,reject,pass,clipped_word_end,,3.91,"The audio cuts off abruptly at the very end while the final syllable's tone and vowel are still actively sounding, cutting off the natural decay.","The audio features a single speaker with clean acoustic onsets and offsets, free of background voices or clipping."
turn_010_spk_00_41.19-42.76,41.19,42.76,1.57,False,reject,reject,clipped_word_end,secondary_speaker;tail_speaker_intrusion,9.32,The final syllable is abruptly cut off mid-vocalization at the end of the clip.,"The audio contains multiple different voices, including a distinct secondary voice intruding at the tail of the clip."
turn_011_spk_02_43.75-46.72,43.75,46.72,2.97,False,reject,reject,secondary_speaker,secondary_speaker,3.68,A second speaker speaks clearly in the latter half of the clip.,The audio contains speech from two distinct speakers: a female voice followed by a male voice.
turn_012_spk_00_48.36-51.29,48.36,51.29,2.93,False,pass,pass,,,3.57,"The audio contains a single speaker throughout with clean, complete start and end acoustic boundaries and no secondary speaker intrusion.","The utterance begins cleanly with natural onset, ends with a full acoustic coda and decay, and features only a single consistent speaker."
turn_013_spk_00_52.71-53.94,52.71,53.94,1.23,True,reject,pass,clipped_word_end,,2.77,The final syllable is abruptly cut off before its coda closure and vowel decay are complete.,The speech begins and ends on complete words with natural acoustic boundaries and contains a single speaker throughout.
turn_014_spk_00_59.87-74.94,59.87,74.94,15.07,False,pass,pass,,,7.52,The speech is cleanly delivered by a single speaker with full phonetic word boundaries at both ends.,"The speech is delivered by a single speaker with natural boundaries at both the start and end, and no overlapping foreground voices."
turn_015_spk_02_80.51-84.50,80.51,84.5,3.99,True,reject,pass,clipped_word_end,,4.09,The final syllable is cut off abruptly before its full tone and acoustic energy decay naturally.,The audio features a single speaker with clearly defined word boundaries and no speech overlap or tail intrusion.
turn_016_spk_02_87.24-88.96,87.24,88.96,1.72,False,reject,reject,clipped_word_end,clipped_word_end,3.31,The final syllable is abruptly cut off mid-vocalization before reaching natural acoustic decay.,The audio cuts off abruptly during the vowel and coda of the final word before its natural decay.
turn_017_spk_00_99.36-101.73,99.36,101.73,2.38,False,reject,reject,clipped_word_start;secondary_speaker,secondary_speaker,6.26,"The initial word is cut off abruptly mid-syllable at the onset, and multiple background voices/laughter are audible throughout the clip.",A secondary voice is audible in the background following the primary speaker's laughter.
turn_018_spk_01_104.28-106.01,104.28,106.01,1.73,False,reject,reject,secondary_speaker,clipped_word_start;secondary_speaker,5.95,There is a prominent secondary speaker or background voice audible at the start of the audio clip.,The clip begins with an abruptly cut off vocalization from a secondary speaker before the primary speaker speaks.
turn_019_spk_02_107.94-109.57,107.94,109.57,1.63,False,reject,reject,secondary_speaker,overlapping_speech;secondary_speaker,5.45,There are two distinct speakers taking turns in this short recording.,Multiple speakers are audible with overlapping conversational speech.
turn_020_spk_01_108.79-111.29,108.79,111.29,2.51,False,reject,reject,overlapping_speech;secondary_speaker;clipped_word_end,overlapping_speech;secondary_speaker,4.2,"There is overlapping speech between multiple speakers at the beginning, and the speech cuts off abruptly mid-vowel at the end.",There are two distinct speakers audible with overlapping speech at the beginning of the clip.
turn_021_spk_01_113.12-114.25,113.12,114.25,1.12,False,pass,pass,,,2.56,"The speech starts and ends cleanly with clear word boundaries, natural decay, and no secondary speaker or overlapping speech.","The speech starts and ends cleanly with clear word boundaries, natural silence, and no foreign speaker intrusion."
turn_022_spk_00_115.32-118.62,115.32,118.62,3.31,False,reject,reject,overlapping_speech;secondary_speaker,overlapping_speech;secondary_speaker,4.12,Heavy background chatter and overlapping secondary voices are present throughout the recording.,Multiple voices and background speakers are clearly audible and overlapping with each other throughout the recording.
turn_023_spk_00_119.25-121.27,119.25,121.27,2.01,False,pass,pass,,,2.78,The utterance is produced by a single speaker with cleanly preserved acoustic boundaries at both onset and offset.,"The audio contains a single speaker with clearly preserved acoustic boundaries at both the start and end, and no secondary speaker interference."
turn_024_spk_01_122.05-123.22,122.05,123.22,1.17,True,pass,reject,,secondary_speaker;clipped_word_end,6.07,The audio contains a single speaker throughout with clear acoustic onset and natural ending fade without clipping.,"A secondary voice is audible in the background at the beginning of the clip, and the final word is cut off abruptly at the end."
turn_025_spk_01_125.51-126.74,125.51,126.74,1.23,False,reject,reject,overlapping_speech;secondary_speaker;clipped_word_end,secondary_speaker;clipped_word_end,3.83,"Multiple speakers are audible with overlapping voices in the background, and the audio abruptly cuts off mid-syllable at the end.","Background secondary voices are clearly audible at the beginning, and the primary speaker's final word is cut off abruptly mid-vowel."
turn_026_spk_00_130.36-139.84,130.36,139.84,9.48,False,pass,pass,,,5.47,"The recording contains a single female speaker throughout with clean, complete start and end boundaries.","The clip contains a single speaker throughout with natural, unclipped acoustic start and end boundaries."
turn_027_spk_00_154.39-157.66,154.39,157.66,3.27,False,reject,reject,clipped_word_end,clipped_word_end,3.11,The final syllable is cut off abruptly before the vowel/coda completes naturally.,The final syllable is cut off abruptly before the vowel and tonal contour can naturally conclude.
turn_028_spk_01_158.46-161.50,158.46,161.5,3.05,False,reject,reject,clipped_word_end,clipped_word_end,6.18,The final syllable is cut off abruptly while vocal fold vibration is still actively sustained.,"The final syllable is cut off abruptly while vocal fold vibration is still active, lacking a natural decay into silence."
turn_029_spk_01_163.21-164.51,163.21,164.51,1.3,False,pass,pass,,,5.65,The clip contains a single speaker with fully articulated onsets and endings without any acoustic clipping or intruding voices.,The audio contains a single clear speaker with fully intact word boundaries at both the start and end.
turn_030_spk_00_175.90-177.58,175.9,177.58,1.68,True,pass,reject,,clipped_word_start,6.02,"The audio contains a single female speaker with clearly defined word boundaries at both the start and end of the segment, with no clipped speech or secondary speaker intrusion.","The initial syllable is abruptly cut off at the onset without a natural acoustic lead-in, truncating the first word."
turn_031_spk_02_178.18-180.00,178.18,180.0,1.82,False,reject,reject,clipped_word_end,clipped_word_end,3.86,The final word is cut off abruptly while vocalization and tone are still actively ongoing.,The final syllable is cut off abruptly before the natural completion of its tone and acoustic decay.
